PartidoID,PasoLisID,Partido,Listas
33,1,33 - PNC,UFC-Unir Ciudadanía
41,1,41 - FG,K-Proyecto Nacional y Popular
60,1,60 - MIJD,A-Amarilla y Negra
71,1,71 - PO,A-Frente de Izquierda y los Trabajadores
176,1,176 - PPR,A-Celeste y Blanca
179,1,179 - CAG,A-Azul y Blanca
180,1,180 - PSUR,A-Luche y Vuelve
191,1,191 - PDI,R-Frente Renovador UNA
652,1,652 - FCHMM,VS-Agrupación 27 de Octubre
652,2,652 - FCHMM,LD-La Dos
652,3,652 - FCHMM,SE-Movimiento Socialista Unidos
652,4,652 - FCHMM,MP-Movimiento Popular Peronista
652,5,652 - FCHMM,SJ-Agr. Siglo 21
652,6,652 - FCHMM,LA-Frente Militante Peronista
652,7,652 - FCHMM,MU-Militancia Unida Justicialista
652,8,652 - FCHMM,FP-Fuerza Popular Justicialista
652,9,652 - FCHMM,ME-La María Eva
652,10,652 - FCHMM,CK-Corriente Provincial Kirchnerista
652,11,652 - FCHMM,DP-Honestidad Trabajo y Justicia Social
653,1,653 - CAMB,A-Lista Chaco
653,2,653 - CAMB,B-Encuentro Cívico
653,3,653 - CAMB,I-Integración
654,1,654 - PROG,A-Unidad
