mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,G33,G41,G60,G71,G179,G180,G191,G652,G653,G654,blanco,nulos,recur,impug,validos,totales
1,1,1,RESISTENCIA,0,1,1,3,8,4,11,0,1,4,36,113,2,2,0,0,0,182,184
2,1,1,RESISTENCIA,0,1,1,3,10,1,23,5,1,2,32,104,1,9,1,0,0,182,192
3,1,1,RESISTENCIA,0,1,1,2,8,0,10,3,2,2,39,109,1,6,0,0,0,176,182
4,1,1,RESISTENCIA,0,1,1,1,3,0,26,0,1,6,32,103,3,2,1,0,0,175,178
5,1,1,RESISTENCIA,0,1,1,2,7,0,21,2,5,3,26,113,2,6,0,0,1,181,188
6,1,1,RESISTENCIA,0,1,1,6,6,0,22,2,4,8,27,115,4,2,0,0,0,194,196
7,1,1,RESISTENCIA,0,1,1,3,9,1,14,1,1,2,42,115,0,10,1,0,0,188,199
8,1,1,RESISTENCIA,0,1,1,4,3,1,15,3,1,5,43,93,1,5,0,0,0,169,174
1001,1,1,RESISTENCIA,1,1,1,3,5,1,20,0,0,4,26,116,5,2,0,0,0,180,182
1002,1,1,RESISTENCIA,1,1,1,5,8,0,19,2,1,3,26,109,1,7,0,0,0,174,181
1003,1,1,RESISTENCIA,1,1,1,2,5,0,19,1,3,7,29,109,1,2,0,0,0,176,178
1004,1,1,RESISTENCIA,1,1,1,5,6,0,22,2,1,3,26,101,2,3,0,0,0,168,171
1005,1,1,RESISTENCIA,1,1,1,3,7,1,17,2,2,1,21,123,1,2,0,0,0,178,180
1006,1,1,RESISTENCIA,1,1,1,2,18,0,13,0,2,4,30,120,1,3,0,0,0,190,193
1007,1,1,RESISTENCIA,1,1,1,3,7,2,15,0,3,5,24,118,1,4,0,0,0,178,182
1008,1,1,RESISTENCIA,1,1,1,3,5,0,15,4,0,5,34,105,2,2,0,0,0,173,175
1009,1,1,RESISTENCIA,1,1,1,4,5,2,15,1,1,7,32,105,3,7,0,0,0,175,182
1010,1,1,RESISTENCIA,1,1,1,1,2,0,5,1,2,2,17,54,0,6,0,0,0,84,90
249,13A,1,RESISTENCIA,0,1,1,6,7,9,19,3,2,2,98,33,0,12,0,0,0,179,191
250,13A,1,RESISTENCIA,0,1,1,10,7,4,17,2,0,3,104,37,2,8,0,0,0,186,194
251,13A,1,RESISTENCIA,0,1,1,6,6,3,24,2,2,5,81,62,6,10,1,0,0,197,208
252,13A,1,RESISTENCIA,0,1,1,9,15,3,24,5,4,3,84,51,7,6,0,0,0,205,211
253,13A,1,RESISTENCIA,0,1,1,5,5,4,16,5,4,2,102,50,2,5,5,0,0,195,205
254,13A,1,RESISTENCIA,0,1,1,6,8,3,15,2,1,3,89,46,4,7,0,0,0,177,184
255,13A,1,RESISTENCIA,0,1,1,2,8,1,18,3,4,1,97,35,2,8,3,0,0,171,182
256,13A,1,RESISTENCIA,0,1,1,6,7,4,17,3,1,4,93,44,1,11,0,0,0,180,191
257,13A,1,RESISTENCIA,0,0,1,3,10,3,24,2,6,4,76,58,3,0,0,0,0,189,189
258,13A,1,RESISTENCIA,0,0,1,5,7,0,30,4,3,7,64,67,10,0,0,0,0,197,197
259,13A,1,RESISTENCIA,0,0,1,4,6,6,20,0,3,1,82,53,12,6,0,0,6,187,199
260,13A,1,RESISTENCIA,0,0,1,5,7,5,20,1,2,7,91,48,10,2,0,0,0,196,198
261,13A,1,RESISTENCIA,0,0,1,3,8,4,14,0,3,4,89,66,8,2,2,0,0,199,203
262,13A,1,RESISTENCIA,0,0,1,6,7,0,27,5,1,1,64,49,3,4,5,0,0,163,172
263,13A,1,RESISTENCIA,0,0,1,5,13,2,71,3,2,7,81,50,7,1,3,0,0,241,245
264,13A,1,RESISTENCIA,0,0,1,4,5,1,30,2,4,3,82,47,4,2,11,0,0,182,195
265,13A,1,RESISTENCIA,0,0,1,1,8,4,14,1,2,1,98,48,7,4,5,0,0,184,193
266,13A,1,RESISTENCIA,0,0,1,8,14,1,22,2,4,9,73,54,2,4,6,0,0,189,199
267,13A,1,RESISTENCIA,0,0,1,4,12,0,20,1,0,10,73,56,11,5,4,0,0,187,196
268,13A,1,RESISTENCIA,0,0,1,3,4,5,22,6,1,4,45,30,4,3,0,0,0,124,127
1274,13A,1,RESISTENCIA,1,1,1,4,4,2,17,3,3,7,103,48,3,9,0,0,0,194,203
1275,13A,1,RESISTENCIA,1,1,1,5,4,0,22,2,2,1,108,45,5,12,0,0,0,194,206
1276,13A,1,RESISTENCIA,1,1,1,5,5,1,23,3,2,3,106,45,2,9,0,0,0,195,204
1277,13A,1,RESISTENCIA,1,1,1,6,7,2,28,0,4,1,89,73,2,8,0,0,0,212,220
1278,13A,1,RESISTENCIA,1,1,1,6,11,5,19,1,0,5,94,43,5,7,0,0,0,189,196
1279,13A,1,RESISTENCIA,1,1,1,6,7,3,16,3,1,7,96,60,9,7,0,0,0,208,215
1280,13A,1,RESISTENCIA,1,1,1,6,7,0,20,3,2,3,110,58,2,6,0,1,0,211,218
1281,13A,1,RESISTENCIA,1,1,1,4,10,2,10,4,2,1,98,57,3,9,1,0,0,191,201
1282,13A,1,RESISTENCIA,1,0,1,5,8,1,19,3,4,4,92,63,7,3,2,0,0,206,211
1283,13A,1,RESISTENCIA,1,0,1,7,5,2,14,2,4,6,92,59,5,3,2,0,0,196,201
