mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,P33,P41,P60,P71,P176,P179,P180,P191,P652.1,P652.2,P652.3,P652.4,P652.5,P652.6,P652.7,P652.8,P652.9,P652.10,P652.11,P653.1,P653.2,P653.3,P654,nulos,recurridos,blanco,impugnados,validos,totales,P652,P653
1,1,1,RESISTENCIA,0,1,1,5,7,3,13,0,2,2,2,1,1,0,2,0,0,2,1,1,2,23,95,8,9,4,0,0,8,0,180,192,33,112
2,1,1,RESISTENCIA,0,1,1,3,7,0,22,1,4,0,1,0,2,2,1,2,0,2,3,1,2,24,87,11,10,2,2,0,11,0,186,201,39,108
3,1,1,RESISTENCIA,0,1,1,1,4,0,12,2,2,5,2,1,5,2,0,2,2,3,0,1,5,23,81,9,16,1,0,1,7,0,179,188,44,106
4,1,1,RESISTENCIA,0,1,1,0,4,0,24,1,1,5,7,0,2,0,0,0,0,1,1,1,3,26,80,11,12,1,0,0,11,0,180,192,34,103
5,1,1,RESISTENCIA,0,1,1,1,7,1,17,0,3,6,1,1,1,0,0,1,0,4,1,3,1,22,85,13,11,0,0,0,11,1,180,191,34,109
6,1,1,RESISTENCIA,0,1,1,2,5,0,11,4,3,4,7,0,2,0,0,1,2,3,0,2,0,18,95,15,16,3,0,0,6,0,191,200,28,126
7,1,1,RESISTENCIA,0,1,1,2,5,1,10,2,4,1,7,1,2,1,0,1,2,2,1,0,5,25,98,13,11,2,0,0,9,0,195,206,40,122
8,1,1,RESISTENCIA,0,1,1,4,2,1,14,2,4,2,4,1,2,7,1,3,4,2,1,0,1,20,71,9,6,2,1,0,12,0,162,177,42,86
9,2,1,RESISTENCIA,0,1,1,1,6,2,9,2,3,2,8,0,2,3,1,0,2,0,1,0,4,20,92,19,11,4,0,0,9,1,189,202,33,122
10,2,1,RESISTENCIA,0,1,1,2,4,2,21,0,3,0,3,1,0,1,0,1,3,1,1,1,0,24,73,16,12,0,0,0,9,2,170,179,33,101
11,2,1,RESISTENCIA,0,1,1,2,7,0,9,2,2,1,3,1,1,4,0,0,0,0,0,1,5,14,97,7,13,2,0,0,11,6,170,183,26,117
