MESA,Departamento,Municipio,Circuito,ESTADO
1,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
2,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
3,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
4,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
5,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
6,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
7,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
8,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
9,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
10,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
11,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
12,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
13,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
14,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
15,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
16,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
17,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
18,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
19,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
20,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
21,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
22,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
23,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
24,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
25,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
26,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
27,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
28,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,
29,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
30,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
31,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
32,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
33,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
34,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
35,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
36,241 -- CAPITAL,1 -- CAPITAL,2 -- CAPITAL,
