,mesa,Departamento,Municipio,Circuito,bue,1 - Movimiento Integracion y Desarrollo (1) 1.Intendente/Vice,1 - Movimiento Integracion y Desarrollo (1) 2.Concejales,2 - Justicialista (2) 1.Intendente/Vice,2 - Justicialista (2) 2.Concejales,3 - Union Civica Radical (3) 1.Intendente/Vice,3 - Union Civica Radical (3) 2.Concejales,4 - Movimiento Siempre Corrientes (4) 1.Intendente/Vice,4 - Movimiento Siempre Corrientes (4) 2.Concejales,5 - Democrata Cristiano (5) 1.Intendente/Vice,5 - Democrata Cristiano (5) 2.Concejales,6 - Es Posible (6) 1.Intendente/Vice,6 - Es Posible (6) 2.Concejales,7 - de la Concertacion Forja (7) 1.Intendente/Vice,7 - de la Concertacion Forja (7) 2.Concejales,8 - Federal (8) 1.Intendente/Vice,8 - Federal (8) 2.Concejales,9 - Democrata Progresista (9) 1.Intendente/Vice,9 - Democrata Progresista (9) 2.Concejales,10 - Renovador Federal (10) 1.Intendente/Vice,10 - Renovador Federal (10) 2.Concejales,11 - Ladrilleros Unidos (CAPITAL) (11) 1.Intendente/Vice,11 - Ladrilleros Unidos (CAPITAL) (11) 2.Concejales,12 - Accion por Corrientes (14) 1.Intendente/Vice,12 - Accion por Corrientes (14) 2.Concejales,13 - Unidos por Corrientes (15) 1.Intendente/Vice,13 - Unidos por Corrientes (15) 2.Concejales,14 - Laborista Autonomo (17) 1.Intendente/Vice,14 - Laborista Autonomo (17) 2.Concejales,15 - ELI - Encuentro Liberal (18) 1.Intendente/Vice,15 - ELI - Encuentro Liberal (18) 2.Concejales,16 - Cambio Popular (19) 1.Intendente/Vice,16 - Cambio Popular (19) 2.Concejales,17 - Union del Centro Democratico (20) 1.Intendente/Vice,17 - Union del Centro Democratico (20) 2.Concejales,18 - Convocatoria Popular (21) 1.Intendente/Vice,18 - Convocatoria Popular (21) 2.Concejales,19 - FE (23) 1.Intendente/Vice,19 - FE (23) 2.Concejales,20 - Union Popular (25) 1.Intendente/Vice,20 - Union Popular (25) 2.Concejales,21 - Conservador Popular (31) 1.Intendente/Vice,21 - Conservador Popular (31) 2.Concejales,22 - Accion Popular de los Trabajadores (34) 1.Intendente/Vice,22 - Accion Popular de los Trabajadores (34) 2.Concejales,23 - Accion por la Republica (44) 1.Intendente/Vice,23 - Accion por la Republica (44) 2.Concejales,24 - Afirmacion para una Republica Igualitaria ARI  (47) 1.Intendente/Vice,24 - Afirmacion para una Republica Igualitaria ARI  (47) 2.Concejales,25 - Partido Socialista (50) 1.Intendente/Vice,25 - Partido Socialista (50) 2.Concejales,26 - Autonomista (52) 1.Intendente/Vice,26 - Autonomista (52) 2.Concejales,27 - de la Victoria (54) 1.Intendente/Vice,27 - de la Victoria (54) 2.Concejales,28 - Proyecto Corrientes (57) 1.Intendente/Vice,28 - Proyecto Corrientes (57) 2.Concejales,29 - PRO - Propuesta Republicana (64) 1.Intendente/Vice,29 - PRO - Propuesta Republicana (64) 2.Concejales,30 - Nueva Dirigencia Corrientes (67) 1.Intendente/Vice,30 - Nueva Dirigencia Corrientes (67) 2.Concejales,31 - Instrumento Electoral por la Unidad Popular (72) 1.Intendente/Vice,31 - Instrumento Electoral por la Unidad Popular (72) 2.Concejales,32 - Nuevo (90) 1.Intendente/Vice,32 - Nuevo (90) 2.Concejales,33 - Popular (169) 1.Intendente/Vice,33 - Popular (169) 2.Concejales,34 - Crecer con Todos (170) 1.Intendente/Vice,34 - Crecer con Todos (170) 2.Concejales,35 - Union Celeste y Blanco (173) 1.Intendente/Vice,35 - Union Celeste y Blanco (173) 2.Concejales,36 - Compromiso Correntino (175) 1.Intendente/Vice,36 - Compromiso Correntino (175) 2.Concejales,37 - KOLINA (192) 1.Intendente/Vice,37 - KOLINA (192) 2.Concejales,VOTOS en Blanco 1.Intendente/Vice,VOTOS en Blanco 2.Concejales,VOTOS Nulos 1.Intendente/Vice,VOTOS Nulos 2.Concejales,VOTOS  Recurridos 1.Intendente/Vice,VOTOS  Recurridos 2.Concejales,VOTOS de Identidad Impugnada 1.Intendente/Vice,VOTOS de Identidad Impugnada 2.Concejales,Total Votos Válidos 1.Intendente/Vice,Total Votos Válidos 2.Concejales,Votos Generales 1.Intendente/Vice,Votos Generales 2.Concejales,Frente Para la Victoria (201) 1.Alianzas Intendente/Vice,Encuentro por Corrientes-ECO+Cambiemos (203) 1.Alianzas Intendente/Vice,Haciendo Corrientes (205) 1.Alianzas Intendente/Vice,Ciudadanos Comprometidos (200) 2.Alianzas Concejales,Frente Para la Victoria (201) 2.Alianzas Concejales,Encuentro por Corrientes-ECO+Cambiemos (204) 2.Alianzas Concejales,Haciendo Corrientes (205) 2.Alianzas Concejales,voto_cruzado,voto_cruzado_revisado
0,1,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,8,6,23,20,42,31,7,6,0,0,4,4,0,0,1,1,1,2,5,4,9,8,5,6,0,1,0,0,18,18,1,1,1,1,1,1,3,3,0,0,0,/////,2,2,3,3,10,10,0,3,8,14,3,3,2,2,11,10,1,1,0,5,7,7,19,20,14,11,12,12,3,3,8,8,1,7,6,5,3,3,0,/////,232,227,242,242,9,145,78,5,9,119,67,20.5,8.5
1,2,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,11,11,26,22,37,38,8,7,4,5,0,0,1,1,1,1,0,0,2,2,3,2,2,3,5,5,5,5,7,6,2,2,3,3,5,4,1,1,5,4,2,/////,2,2,1,1,11,12,0,0,7,13,3,3,0,0,6,7,2,2,0,0,0,0,14,14,8,7,24,23,6,7,2,1,11,6,2,2,12,11,2,/////,216,214,243,235,7,138,71,7,5,120,65,13.0,7.0
2,3,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,2,2,16,14,45,41,5,3,6,5,3,3,5,4,0,0,5,6,7,5,1,1,4,4,2,2,3,3,20,20,1,1,2,2,3,4,1,1,6,6,1,/////,6,6,5,5,11,11,0,2,4,5,2,1,3,4,11,10,15,14,0,4,5,5,5,5,24,22,5,5,2,2,3,3,24,29,9,9,2,0,0,/////,239,231,274,269,6,157,76,13,7,117,65,14.0,7.0
3,4,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,11,8,32,27,26,23,0,0,5,3,0,0,1,1,2,2,1,2,1,2,6,4,2,2,14,14,0,0,17,16,7,7,4,2,6,5,3,4,1,1,0,/////,3,3,2,2,21,22,0,6,12,13,1,1,0,0,5,5,0,0,0,0,4,4,23,22,1,1,5,5,2,2,3,3,2,2,3,3,0,0,0,/////,221,212,226,217,9,139,73,8,8,120,60,15.5,9.5
4,5,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,10,8,17,14,66,60,9,8,6,5,5,7,0,0,3,2,0,1,4,2,4,4,3,3,6,6,3,3,20,20,2,2,1,1,2,3,1,1,0,0,0,/////,2,2,3,3,7,7,0,3,17,19,4,4,5,5,9,8,2,1,0,0,4,4,9,10,1,1,5,5,0,0,4,6,4,10,4,4,4,4,0,/////,234,228,246,246,6,166,62,3,9,141,53,15.0,6.0
5,6,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,12,9,25,19,54,52,3,3,1,1,1,1,3,3,0,0,3,3,6,6,7,7,8,8,12,12,3,3,12,11,2,2,5,5,5,6,0,0,0,0,0,/////,3,3,0,1,8,8,0,0,8,10,3,3,6,6,14,13,1,1,0,0,2,3,2,2,3,3,0,0,3,3,3,6,6,11,10,10,3,3,1,/////,218,213,238,238,8,138,72,3,12,115,64,10.5,6.5
6,7,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,6,5,21,19,30,33,9,9,10,9,1,1,4,2,3,3,2,2,6,7,3,3,0,0,6,6,8,10,17,18,2,1,5,5,1,1,5,3,5,5,3,/////,1,1,5,5,1,1,0,0,17,19,0,0,2,2,7,7,0,0,0,0,2,3,10,10,4,3,6,6,8,6,2,2,2,0,3,0,15,0,4,/////,212,207,236,211,3,137,72,9,3,102,66,12.5,3.5
7,8,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,16,13,24,24,47,38,0,0,1,1,1,1,2,1,3,3,0,0,4,3,3,2,5,5,1,1,0,0,12,12,4,3,11,8,2,2,6,6,1,1,2,/////,2,3,1,1,8,9,0,7,15,18,2,2,6,7,12,13,7,6,0,0,5,5,14,14,0,0,3,3,1,1,1,1,2,9,11,12,5,4,0,/////,222,214,240,239,3,147,72,10,3,121,62,18.0,6.0
8,9,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,6,6,35,28,69,58,5,5,7,7,4,4,5,4,2,4,8,8,3,3,1,1,7,7,5,5,0,0,4,4,1,1,2,2,1,1,0,0,2,2,2,/////,1,1,3,2,5,5,0,8,10,12,4,3,3,3,11,12,4,4,0,5,7,7,6,7,3,2,3,3,2,2,5,6,2,6,6,6,0,0,0,/////,236,232,244,244,6,151,79,3,7,113,69,22.0,8.0
9,10,241 -- CAPITAL,1 -- CAPITAL,1 -- CAPITAL,0,15,14,29,25,67,63,2,2,2,2,1,1,2,3,3,3,0,0,1,0,7,7,5,7,13,13,0,0,25,25,1,1,5,4,0,0,6,5,5,4,1,/////,2,2,5,5,7,7,0,0,10,12,3,2,4,4,6,6,2,3,0,0,3,3,3,3,3,1,2,2,1,1,5,7,5,0,4,0,0,0,0,/////,246,237,255,237,5,168,73,11,7,138,64,12.5,6.5
